Project: Modern Data Warehouse    Server: dev.azure.com/wayneme    Query: all items    List type: Flat    ,,,,,,,
ID,Parent,Work Item Type,Priority,Value Area,Title,Tags,Description
4096,,Epic,2,Business,Modern Data Warehouse Implementation,Implementation,Modern Data Warehouse Implementation
4097,,Epic,2,Business,Modern Data Warehouse Planning ,Plan,Modern Data Warehouse Planning 
4098,4097,Feature,2,Business,Planning for data warehouse migration or on boarding,Plan,Planning for data warehouse migration or on boarding
4099,4096,Feature,2,Business,Implementation of Architecture Strategy and Execution,Implementation,"Big Data
https://docs.microsoft.com/en-us/azure/architecture/data-guide/big-data/

MDW
https://docs.microsoft.com/en-us/azure/architecture/solution-ideas/articles/modern-data-warehouse
https://azure.microsoft.com/en-in/solutions/architecture/modern-data-warehouse/

"
4100,4096,Feature,2,Business,Post migration,Implementation,Post migration
4101,4187,Task,2,,1 - Data Loading Strategies ,Implementation,"While SQL pool supports many loading methods, including popular SQL Server options such as bcp and the SqlBulkCopy API, the fastest and most scalable way to load data is through PolyBase external tables and the COPY statement.

With PolyBase and the COPY statement, you can access external data stored in Azure Blob storage or Azure Data Lake Store via the T-SQL language. For the most flexibility when loading, we recommend using the COPY statement.

Please refer to this guidance

"
4102,4187,Task,2,,2 - Data preparation,Implementation,"Please refer to this guidance
"
4103,4186,Task,2,,1 - Table design for staging data,Implementation,"Review Data Distribution Design

For fast inserts use round robin distribution:

Indexing
When you are temporarily landing data in dedicated SQL pool, you may find that using a heap table makes the overall process faster. This is because loads to heaps are faster than to index tables and in some cases the subsequent read can be done from cache. If you are loading data only to stage it before running more transformations, loading the table to heap table is much faster than loading the data to a clustered columnstore table
Review Index Design


"
4104,4187,Task,2,,3 - Load data to Synapse Analytics using COPY INTO,Implementation,"The COPY statement is the recommended loading utility as it enables you to seamlessly and flexibly load data by providing functionality to:

 *  Allow lower privileged users to load without needing strict CONTROL permissions on the data warehouse
 *  Leverage only a single T-SQL statement without having to create any additional database objects
 *  Leverage a finer permission model without exposing storage account keys using Share Access Signatures (SAS)
 *  Specify a different storage account for the ERRORFILE location (REJECTED_ROW_LOCATION)
 *  Customize default values for each target column and specify source data fields to load into specific target columns
 *  Specify a custom row terminator for CSV files
 *  Escape string, field, and row delimiters for CSV files
 *  Leverage SQL Server Date formats for CSV files
 *  Specify wildcards and multiple files in the storage location path


https://docs.microsoft.com/en-us/sql/t-sql/statements/copy-into-transact-sql?toc=/azure/synapse-analytics/sql-data-warehouse/toc.json&bc=/azure/synapse-analytics/sql-data-warehouse/breadcrumb/toc.json&view=azure-sqldw-latest
"
4105,4186,Task,2,,2 - Data Ingestion to Synapse Analytics with Stream Analytics,Implementation,"Prerequisites:

 *  Azure Stream Analytics Job - To create an Azure Stream Analytics job
 *  Synapse dedicated SQL pool for your data warehouse - To create a new data warehouse, follow the steps in the Quickstart to create a new data warehouse.

Please refer to details here
"
4106,4187,Task,2,,4 - Load data to Synapse Analytics using Polybase,Implementation,"While SQL pool supports many loading methods including non-Polybase options such as BCP and SQL BulkCopy API, the fastest and most scalable way to load date is through PolyBase. PolyBase is a technology that accesses external data stored in Azure Blob storage or Azure Data Lake Store via the T-SQL language.

Please refer to this guidance

"
4107,4182,Task,2,,1 - Ingestion using HDInsight Kafka,Implementation,"Apache Kafka is an open-source distributed streaming platform that can be used to build real-time data pipelines and streaming applications. Kafka also provides message broker functionality similar to a message queue, where you can publish and subscribe to named data streams. It is horizontally scalable, fault-tolerant, and extremely fast. Kafka on HDInsight provides a Kafka as a managed, highly scalable, and highly available service in Azure.

Review this details
"
4108,4187,Task,2,,5 - Dimensional Modeling,Implementation,"A star schema organizes data into fact and dimension tables. Some tables are used for integration or staging data before moving to a fact or dimension table. As you design a table, decide whether the table data belongs in a fact, dimension, or integration table.

Please refer to the details here

"
