Project: Retail Recommender - Solution Accelerator    Server: dev.azure.com/wayneme    Query: all items    List type: Flat    ,,,,,,,
ID,Parent,Work Item Type,Priority,Value Area,Title,Tags,Description
4208,4613,User Story,2,Business,Step1: Data Gathering,Adopt,
4209,4613,User Story,2,Business,Step2: Create Azure Synapse,Adopt,
4210,4613,User Story,2,Business,Step3: Upload Assets and Data to Synapse and assign permissions,Adopt,
4211,4613,User Story,2,Business,Step4: Setting up Cosmos DB and Azure Synapse Link,Adopt,"In this section we will be creating containers for recommendations and product details
"
4212,4613,User Story,2,Business,Step5: Running of the Notebooks and SQL Scripts,Adopt,
4213,4613,User Story,2,Business,Step6: Setup Item-based Recommendation Web Service,Adopt,"In this section we will set up the Item-Based Recommendation Web Service by using Azure Machine Learning Service to package and deploy the model and Azure Kubernetes Service to host the model.
NOTE: You will need Python 3.7+ installed on your local machine.

"
4214,4613,User Story,2,Business,Step7: Setting up API infrastructure,Adopt,
4215,4613,User Story,2,Business,Step8: Setting up the Event Hub,Adopt,"Azure Event Hubs is a Big Data streaming platform and event ingestion service that can receive and process millions of events per second. Event Hubs can process and store events, data, or telemetry produced by distributed software and devices. Data sent to an event hub can be transformed and stored using any real-time analytics provider or batching/storage adapters.

Azure Quickstart - Create an event hub using the Azure portal - Azure Event Hubs | Microsoft Docs
"
4216,,Epic,2,Business,Planning,Planning,
4218,,Epic,2,Business,Ready the platform,Ready,
4219,4218,Feature,2,Business,Landing Zone,Ready,"Landing Zone
"
4220,,Epic,2,Business,Build the environment,Adopt,
4223,4216,Feature,2,Business,Organization enablement,Planning,
4224,4223,User Story,2,Business,Readiness,Planning,"Microsoft Learn
"
4225,4224,Task,2,,1. Tutorial: Azure Synapse,Planning,"Introduction to Azure Synapse Analytics

Integrate Data with Azure Data Factory or Azure Synapse Pipeline

Explore Azure Synapse Studio
"
4226,4224,Task,2,,2. Tutorial: Azure Kubernetes Service,Planning,"Introduction to Azure Kubernetes Service

Deploy a containerized application on Azure Kubernetes Service
"
4227,4224,Task,2,,3. Tutorial: Azure Machine Learning,Planning,"Introduction to Azure Machine Learning SDK

Use automated machine learning in Azure Machine Learning

Automate machine learning model selection with Azure Machine Learning
"
4228,4224,Task,2,,4. Tutorial: Data Role Learning Paths on Microsoft Learn,Planning,"Data Scientist Learning Path on Microsoft Docs

Data engineer Learning Path on Microsoft Docs

Data Analyst Learning Path on Microsoft Docs
"
4229,4223,User Story,2,Business,Team,Planning,"Organization Alignment
"
4230,4229,Task,2,,"Alignment of the CCOE, Platform, Governance and Data teams",Planning,"Ensure that common principles and operating environment are adhered to.

Cloud Function Alignment
Strategy & CCOE informed and cleared the path to proceed with project
Governance & Security informed and no blockers from a compliance perspective
Data and Platform/Adoption function have the correct rights, roles and operating environment
"
4231,4219,User Story,2,Business,Build Environment (landing zone),Ready,
4232,4219,User Story,2,Business,Governance and policies,Ready,
4233,4231,Task,2,,1. Subscription & Resource Groups,Ready,"You will need to know which subscription and resource group you are deploying to.

Subscription name & ID
Resource group
"
4234,4232,Task,2,,1. Verify and validate policies for compliance,Ready,"If this is a demo environment are their policies which prevent you from building the demo.
Validate compliance requirements for data usage
"
4235,4208,Task,2,,Download data from Kaggle Open Dataset,Adopt,"- 2019-Oct.csv
- 2019-Nov.csv
- 2019-Dec.csv.gz (available here)
- 2020-Jan.csv.gz (available here)
"
4236,4209,Task,2,,1. Get Azure Subscription ID and Resource Group Name,Adopt," *  Subscription: Azure Subscription Id
 *  Resource Group: Name of the resource group to create


"
4237,4209,Task,2,,2. Define a globally unique resource name,Adopt,"Quickstart: Get started - create a Synapse workspace - Azure Synapse Analytics | Microsoft Docs
"
4238,4209,Task,2,,3. Username and Password for Synapse workspace,Adopt," *  Username: SQL user for Synapse workspace
 *  Password: SQL user for Synapse workspace (must be at least 8 characters)


"
4239,4209,Task,2,,4. Location for resources,Adopt,"Location: the location to deploy all the resources
"
4240,4209,Task,2,,5. Directory path for dataset,Adopt,"Directory Path: the directory path where the dataset is located locally on your computer
"
4241,4209,Task,2,,6. Cosmos DB account name,Adopt,"Cosmos DB Account Name: the name of the Cosmos DB Account that will be used to store the User Recommendations and Product Details
"
4242,4209,Task,2,,7. NOTE: Azure CLI extension for Azure Synapse,Adopt," *  Open Powershell as Administrator
 *  Navigate to this folder Azure-Synapse-Solution-Accelerator-Retail-Recommender/Resource_Deployment/deployment/backend at master · microsoft/Azure-Synapse-Solution-Accelerator-Retail-Recommender (github.com)
 *  Run the following command: ./deployment_script.ps1


"
4243,4209,Task,2,,8. Storage Account permissions,Adopt,"In order to read files from your Azure Storage Account from the Synapse workspace, you will need to grant Storage Blob Data Contributor. Follow the steps below to assign Storage Blob Data Contributor to the users.

 *  Go to the Azure Data Lake Storage Account created in Step 2
 *  Go to the Access Control (IAM)
 *  Click ""+ Add""
 *  Click ""Add role assignment""
 *  Now click the Role dropdown and select Storage Blob Data Contributor and search for your username and the other user's usernames to be added by using the search bar.
 *  Click ""Save"" at the bottom


"
4244,4210,Task,2,,1. Import data into Synapse,Adopt," *  Launch the Synapse workspace:

 *  Go to the resource page in the portal and click the ""Launch Synapse Studio""

 *  Go to ""Develop"", click the ""+"", and click Import:

 *  In the demo's repository, go to Analytics Deployment\synapse-workspace\notebooks to select all of the the Spark Notebooks

 *  Click Publish and confirm the assets to be published


"
4245,4210,Task,2,,2. Upload configuration packages,Adopt," *  Go to the ""Manage"" tab in the Synapse workspace and click on the Apache Spark pools
 *  Click on the Spark Pool that you deployed and click ""Packages, then click ""Upload environment config file""

 *  Go to Analytics Deployment\synapse-workspace\cluster_config to get the requirements.txt for upload


"
4246,4210,Task,2,,3. Assign permissions,Adopt,"Ensure that you give yourself and any other user admin privilages for this accelerator by going to the Manage tab, then Access control underneath Security and click ""+ Add""

Admin roles

 *  Workspace Admin
 *  SQL Admin
 *  Apache Spark admin

"
4247,4211,Task,2,,1. Create New Database,Adopt," *  
Go to the Cosmos DB service that was created in Step 2
 *  
Go to the Data Explorer and create a database named product_data with the configurations below:

Provision throughput: checked
Select manual, throughput variable of 1,000

"
4248,4211,Task,2,,2. Create First Container,Adopt,"Database ID: use existing: product_data
Container id: product_details
Partition key: /productID

Analytics store: Off
"
4249,4211,Task,2,,3. Create Second Container,Adopt,"Database id: Use existing: product_data
Container id: user_recommendations
Partition key: /user_id
Analytics store: On
"
4250,4211,Task,2,,4. Link Cosmos db to your Synapse Workspace,Adopt,"Connect to Azure Synapse Link (preview) for Azure Cosmos DB - Azure Synapse Analytics | Microsoft Docs

NOTE: Make sure to create a Linked Service in the Synapse workspace for the Cosmos DB connection and name it retail_ai_cosmos_synapse_link
"
4252,4211,Task,2,,5. Upload JSON to ADLS,Adopt,"Use the product_details.json file: Azure-Synapse-Solution-Accelerator-Retail-Recommender/Analytics_Deployment/data at master · microsoft/Azure-Synapse-Solution-Accelerator-Retail-Recommender (github.com)

 *  Upload the JSON to the Azure Data Lake Storage Account attached to your Synapse workspace

 *  Make sure you put it into the filesystem that is the Primary Filesystem for the Synapse workspace
 *  Put it in the folder synapse/workspaces in the filesystem that is the primary filesystem for the Synapse workspace



"
4253,4211,Task,2,,6. Import the notebook,Adopt," *  Import Analytics_Deployment\synapse-workspace\notebooks\01_CreateOrUpdateProductDetails.ipynb to the Synapse workspace and fill out the parameters for the filesystem name and the account name
 *  Execute the Notebook


"
4254,4212,Task,2,,1. Deploy Azure Machine Learning Service,Adopt,"Tutorial: Get started in Jupyter Notebooks (Python) - Azure Machine Learning | Microsoft Docs

NOTE: Along with the service comes the following:

 *  Azure Key Vault
 *  Azure Storage
 *  Azure Application Insights
 *  Azure Container Registry (ATTENTION: The name of this service will be needed in the deployment of the Azure Kubernetes Service)

 *  You can find the name of the associated Container Registry in the resource page of the deployed Azure Machine Learning Service


"
4255,4212,Task,2,,2. Create Service Principal,Adopt,"Service Principal needs contributor access to Azure Machine Learning Service. Creating Service Principal

Note: Save the client-id and password of this Service Principal for future steps in the Notebook. This will install the Azure Machine Learning CLI Extention.

#After running the script, it will propt you to login to the portal or enter a device code. 
az login

#Install the Azure Machine Learning CLI Extention 
az extension add -n azure-cli-ml

# Set the subscription you will be using for this solution accelerator
# NOTE: you will need to replace the following 
# - <subscription-id>
az account set --subscription <subsciption-id>

# Create a Service Principal
# NOTE: you will need to replace the following 
# - <service-principal-name>: Desired name for the serive principal
az ad sp create-for-rbac --sdk-auth --name <service-principal-name>

# Get details of your service principal 
# NOTE: you will need to replace the following
# - <client-id>: the client id from the previous step
az ad sp show --id <client-id>

# Assign contributor role to the Azure Machine Learning Service 
# NOTE: you will need to replace the following
# - <workspace-name>: Azure Machine learning workspace name
# - <resource-group>: name of the resource group used for this solution accelerator 
# - <object-id>: the object id of the service principal 
az ml workspace share -w <workspace-name> -g <resource-group> --user <object-id> --role contributor

"
4256,4212,Task,2,,3. Configure and Train data models,Adopt,"Fill out the parameters in the following files and run in order.

 *  Clean training data: https://github.com/microsoft/Azure-Synapse-Solution-Accelerator-Retail-Recommender/blob/master/Analytics_Deployment/synapse-workspace/notebooks/02_Clean_Training_Data.ipynb
 *   ALS Model training: https://github.com/microsoft/Azure-Synapse-Solution-Accelerator-Retail-Recommender/blob/master/Analytics_Deployment/synapse-workspace/notebooks/03_ALS_Model_Training.ipynb
 *  Recommendation Refresh: https://github.com/microsoft/Azure-Synapse-Solution-Accelerator-Retail-Recommender/blob/master/Analytics_Deployment/synapse-workspace/notebooks/04_RecommendationRefresh.ipynb


"
4257,4213,Task,2,,1. Create new inference cluster,Adopt," *  
Launch the Azure Machine Learning Studio:

 *  Go to the resource page in the portal and click the ""Launch Studio""

 *  
Go to ""Compute"", click ""Inference Clusters"" and click ""+ New""

 *  fill in the Compute Name, Region, choose the Dev-test or Production for the cluster purpose and select Create.

Create a compute cluster for Machine Learning
"
4258,4213,Task,2,,2. Create data model,Adopt," *  
In the repository on your local machine, open Azure-Synapse-Solution-Accelerator-Retail-Recommender/Analytics_Deployment/amls/model_deployment at master · microsoft/Azure-Synapse-Solution-Accelerator-Retail-Recommender (github.com) in an IDE like VS Code
 *  
Run pip install -r requirements.txt
 *  
Edit the download_model.py file:

 *  In the file download_model.py, edit the following:
# Enter the name of the Azure Data Lake Storage Gen2 Account
DATA_LAKE_NAME=""""
# Enter the name of the filesystem
DATA_LAKE_FILE_SYSTEM_NAME=""""
# Enter the Primary Key of the Data Lake Account
DATA_LAKE_PRIMARY_KEY=""""
 *  Now run python download_model.py

 *  This should create a ZIP of the model on your local machine.


"
